Player,Team,Position,Value,Points,Points/Value,value_ratio,now_cost
Nordi Mukiele,Sunderland,Defender,4.4,92,20.909090909090907,20.91,4.4
Michael Keane,Everton,Defender,4.8,96,20.0,20.0,4.8
Marc Guéhi,Crystal Palace,Defender,5.3,105,19.81132075471698,19.81,5.3
Robin Roefs,Sunderland,Goalkeeper,4.9,95,19.387755102040813,19.39,4.9
Micky van de Ven,Spurs,Defender,4.6,89,19.347826086956523,19.35,4.6
Maxence Lacroix,Crystal Palace,Defender,5.1,98,19.215686274509807,19.22,5.1
Omar Alderete,Sunderland,Defender,4.1,77,18.78048780487805,18.78,4.1
James Garner,Everton,Midfielder,5.1,95,18.627450980392158,18.63,5.1
Trevoh Chalobah,Chelsea,Defender,5.5,102,18.545454545454547,18.55,5.5
Marcos Senesi Barón,Bournemouth,Defender,4.8,88,18.333333333333336,18.33,4.8
Matty Cash,Aston Villa,Defender,4.8,87,18.125,18.12,4.8
Caoimhín Kelleher,Brentford,Goalkeeper,4.5,81,18.0,18.0,4.5
Nathan Collins,Brentford,Defender,5.0,89,17.8,17.8,5.0
Anton Stach,Leeds,Midfielder,4.9,87,17.755102040816325,17.76,4.9
James Tarkowski,Everton,Defender,5.7,100,17.543859649122805,17.54,5.7
Jan Paul van Hecke,Brighton,Defender,4.5,78,17.333333333333332,17.33,4.5
Harry Wilson,Fulham,Midfielder,5.9,102,17.28813559322034,17.29,5.9
Matheus Nunes,Man City,Defender,5.5,94,17.09090909090909,17.09,5.5
Chris Richards,Crystal Palace,Defender,4.4,75,17.045454545454543,17.05,4.4
Rúben dos Santos Gato Alves Dias,Man City,Defender,5.6,95,16.964285714285715,16.96,5.6
Granit Xhaka,Sunderland,Midfielder,5.2,88,16.923076923076923,16.92,5.2
Igor Thiago Nascimento Rodrigues,Brentford,Forward,7.1,120,16.901408450704228,16.9,7.1
Tyrick Mitchell,Crystal Palace,Defender,5.0,84,16.8,16.8,5.0
Daniel Ballard,Sunderland,Defender,4.6,77,16.73913043478261,16.74,4.6
Gabriel dos Santos Magalhães,Arsenal,Defender,6.7,112,16.71641791044776,16.72,6.7
Declan Rice,Arsenal,Midfielder,7.3,122,16.71232876712329,16.71,7.3
Joachim Andersen,Fulham,Defender,4.6,76,16.521739130434785,16.52,4.6
Jurriën Timber,Arsenal,Defender,6.3,104,16.50793650793651,16.51,6.3
Ryan Gravenberch,Liverpool,Midfielder,5.7,94,16.49122807017544,16.49,5.7
Elliot Anderson,Nott'm Forest,Midfielder,5.3,87,16.41509433962264,16.42,5.3
Bruno Guimarães Rodriguez Moura,Newcastle,Midfielder,7.2,117,16.25,16.25,7.2
Jordan Pickford,Everton,Goalkeeper,5.6,90,16.071428571428573,16.07,5.6
Carlos Henrique Casimiro,Man Utd,Midfielder,5.5,87,15.818181818181818,15.82,5.5
Antoine Semenyo,Man City,Midfielder,7.6,120,15.789473684210527,15.79,7.6
Martin Dúbravka,Burnley,Goalkeeper,4.0,63,15.75,15.75,4.0
Marcus Tavernier,Bournemouth,Midfielder,5.5,86,15.636363636363637,15.64,5.5
Guglielmo Vicario,Spurs,Goalkeeper,4.8,75,15.625,15.62,4.8
Brenden Aaronson,Leeds,Midfielder,5.4,84,15.555555555555555,15.56,5.4
Dean Henderson,Crystal Palace,Goalkeeper,5.1,79,15.490196078431374,15.49,5.1
Daniel Muñoz Mejía,Crystal Palace,Defender,5.8,89,15.344827586206897,15.34,5.8
Kiernan Dewsbury-Hall,Everton,Midfielder,4.9,75,15.306122448979592,15.31,4.9
Bart Verbruggen,Brighton,Goalkeeper,4.5,68,15.11111111111111,15.11,4.5
