Player,Team,Position,Value,Points,Points/Value,value_ratio,now_cost
Michael Keane,Everton,Defender,4.8,91,18.958333333333336,18.96,4.8
Marc Guéhi,Crystal Palace,Defender,5.3,95,17.92452830188679,17.92,5.3
Nordi Mukiele,Sunderland,Defender,4.2,74,17.619047619047617,17.62,4.2
Robin Roefs,Sunderland,Goalkeeper,4.8,83,17.291666666666668,17.29,4.8
James Garner,Everton,Midfielder,5.0,85,17.0,17.0,5.0
Trevoh Chalobah,Chelsea,Defender,5.6,95,16.964285714285715,16.96,5.6
James Tarkowski,Everton,Defender,5.5,93,16.90909090909091,16.91,5.5
Micky van de Ven,Spurs,Defender,4.5,76,16.88888888888889,16.89,4.5
Omar Alderete,Sunderland,Defender,4.0,67,16.75,16.75,4.0
Chris Richards,Crystal Palace,Defender,4.5,75,16.666666666666668,16.67,4.5
Marcos Senesi Barón,Bournemouth,Defender,4.9,81,16.53061224489796,16.53,4.9
Maxence Lacroix,Crystal Palace,Defender,5.2,85,16.346153846153847,16.35,5.2
Daniel Ballard,Sunderland,Defender,4.7,75,15.957446808510637,15.96,4.7
Jordan Pickford,Everton,Goalkeeper,5.5,86,15.636363636363637,15.64,5.5
Matty Cash,Aston Villa,Defender,4.9,76,15.510204081632653,15.51,4.9
Anton Stach,Leeds,Midfielder,4.9,76,15.510204081632653,15.51,4.9
Daniel Muñoz Mejía,Crystal Palace,Defender,5.8,89,15.344827586206897,15.34,5.8
Jan Paul van Hecke,Brighton,Defender,4.5,69,15.333333333333334,15.33,4.5
Gabriel dos Santos Magalhães,Arsenal,Defender,6.4,97,15.15625,15.16,6.4
Kiernan Dewsbury-Hall,Everton,Midfielder,5.0,75,15.0,15.0,5.0
Jurriën Timber,Arsenal,Defender,6.4,95,14.84375,14.84,6.4
Matheus Nunes,Man City,Defender,5.4,80,14.814814814814813,14.81,5.4
Granit Xhaka,Sunderland,Midfielder,5.2,77,14.807692307692307,14.81,5.2
Joachim Andersen,Fulham,Defender,4.6,68,14.782608695652176,14.78,4.6
Martin Dúbravka,Burnley,Goalkeeper,4.0,59,14.75,14.75,4.0
Rúben dos Santos Gato Alves Dias,Man City,Defender,5.7,84,14.736842105263158,14.74,5.7
Ryan Gravenberch,Liverpool,Midfielder,5.7,84,14.736842105263158,14.74,5.7
Robert Lynch Sánchez,Chelsea,Goalkeeper,4.9,72,14.693877551020407,14.69,4.9
Antoine Semenyo,Bournemouth,Midfielder,7.7,113,14.675324675324674,14.68,7.7
Harry Wilson,Fulham,Midfielder,5.8,85,14.655172413793103,14.66,5.8
Tyrick Mitchell,Crystal Palace,Defender,5.0,73,14.6,14.6,5.0
Adrien Truffert,Bournemouth,Defender,4.5,65,14.444444444444445,14.44,4.5
Elliot Anderson,Nott'm Forest,Midfielder,5.3,76,14.339622641509434,14.34,5.3
Joe Rodon,Leeds,Defender,4.0,57,14.25,14.25,4.0
Kenny Tete,Fulham,Defender,4.5,64,14.222222222222221,14.22,4.5
Reece James,Chelsea,Defender,5.7,81,14.210526315789473,14.21,5.7
Declan Rice,Arsenal,Midfielder,7.2,102,14.166666666666666,14.17,7.2
Nico O'Reilly,Man City,Defender,5.3,75,14.150943396226415,14.15,5.3
Josh Cullen,Burnley,Midfielder,5.0,70,14.0,14.0,5.0
Guglielmo Vicario,Spurs,Goalkeeper,4.8,67,13.958333333333334,13.96,4.8
Carlos Henrique Casimiro,Man Utd,Midfielder,5.5,76,13.818181818181818,13.82,5.5
Malo Gusto,Chelsea,Defender,5.0,69,13.8,13.8,5.0
Diogo Dalot Teixeira,Man Utd,Defender,4.5,62,13.777777777777779,13.78,4.5
